"LinkID","AveSpeed","SDSpeed","Flow","Idling","CO2","NOx","linkLength"
1,17.662075,0.188578642180772,17,0.0025,9788.87012,6.79266024,0.27009133257
2,17.8830522765599,0.20215459038009,13,0.00337268128161889,14272,9.90003967,0.52496528935
3,13.2255607476636,0.168020139750612,7,0.00233644859813084,6329.77002,4.50777006,0.51169280479
4,11.8354181184669,0.360742748987468,134,0.00696864111498258,23319,15.5997,0.03569776395
5,9.92949152542373,0.252791529488438,131,0,14349.5,9.06091022,0.02325791653
6,12.8549271137026,0.12057903331809,40,0,6163.43994,4.34702015,0.07718670562
7,11.1831596091205,0.305635074008785,38,0.0162866449511401,8123.1499,5.52579021,0.06192583386
8,12.3803225806452,0.152708289957363,8,0.00509337860780985,9195.58008,6.53888988,0.57679384446
9,12.8964521193093,0.169360399900518,6,0.00627943485086342,11387.7998,7.99583006,0.86145011327
10,12.1807468879668,0.192124650271604,5,0.00829875518672199,4575.7998,3.16710997,0.37452515654
11,12.5457211538462,0.189109204709291,7,0.00480769230769231,4616.70996,3.19046998,0.24352772232
12,12.2700782361309,0.220371852008269,49,0.00782361308677098,26631.3008,18.6784,0.22730993922
13,13.1274534161491,0.144296717374057,13,0.0020703933747412,15939,11.3182001,0.61572895132
14,12.7451030927835,0.207440662502254,13,0.00515463917525773,5338.99023,3.67620993,0.1298044019
15,12.7846733668342,0.151424767110213,17,0.0050251256281407,3363,2.41453004,0.10130832784
16,20.285875,0.150756480768793,67,0.00104166666666667,24510.5996,17.0410995,0.19446426816
17,20.1964773922187,0.167344442105949,62,0.00315457413249211,24484.9004,17.0139008,0.20908512779
18,11.9002898550725,0.15802531839393,33,0.0036231884057971,4557.91016,3.21083999,0.06893489874
19,11.3258,0.232804046738071,5,0.005,2956.12012,2.04839993,0.28735301895
20,20.4207,0.131702283539257,107,0.000714285714285714,34682.5,24.2017994,0.18017273516
21,12.2851965065502,0.19119306349992,7,0,4462.31982,3.13889003,0.26357315078
22,12.7276061776062,0.138256300213865,5,0,3822,2.73221993,0.41716984827
23,7.30529411764706,0.787079675960415,22,0.247058823529412,5378.39014,3.66968989,0.05552571256
24,12.1209655172414,0.162748466500466,14,0,5322.25,3.76151991,0.17760025922
25,11.906143187067,0.12037919928376,15,0,7163,5.08952999,0.2303422297
26,13.0825287356322,0.148045375927118,31,0,3034.3999,2.14961004,0.05261148257
27,12.5276844262295,0.19254068512855,29,0,11101.0996,7.68579006,0.1423560961
28,12.4060367454068,0.166293646528851,8,0,6992.74023,4.8916502,0.37478613236
29,12.3486440677966,0.169557450559035,6,0.00423728813559322,4109.14014,2.89880991,0.31524636314
30,14.5559052924791,0.153335523338581,9,0.00278551532033426,6677.1001,4.68419981,0.37175384188
31,14.708908045977,0.171251122161281,15,0.00574712643678161,6594.72021,4.63208008,0.22194750749
32,12.2612544311035,0.137467473658283,41,0.000457404230989137,262200,185.897995,3.38419773214
33,12.7181052631579,0.169210115537152,9,0.00394736842105263,12673.9004,8.97052956,0.67949404334
34,12.5673518518519,0.135310771829067,33,0.0037037037037037,9146.16992,6.53401995,0.13754047085
35,12.8337827715356,0.0919237136576593,27,0,4037.87988,2.8863399,0.08693601661
36,12.3563157894737,0.159295741943436,5,0.00559910414333707,15600.5,11.0888004,1.54270263654
37,12.7519540229885,0.127520745916236,37,0,14093.2998,10.1423998,0.21432328532
38,13.7877108433735,0.418470803514772,38,0,6003.16016,4.02841997,0.041631857
39,11.9542162162162,0.416782663237196,25,0,8441.83008,5.61050987,0.06510103967
40,12.1627090301003,0.188745585353062,17,0,6648.68018,4.62652016,0.13960342257
41,11.9969498381877,0.166510336151187,45,0,21235.4004,14.8669996,0.21019738188
42,12.7447332185886,0.152224932789598,23,0,10929.7998,7.64417982,0.20932746248
43,12.9143177189409,0.115535224853623,7,0,8211.01953,5.82530022,0.57059256188
44,12.9121359223301,0.154170435954199,11,0,7072.87012,4.89747,0.23491552026
45,16.4923309178744,0.171894842518154,33,0.00483091787439614,16985.4004,11.8824997,0.27810080476
46,12.8241078838174,0.121181518287996,20,0,7366.47998,5.25983,0.20197664355
47,13.1299720670391,0.132976331034823,23,0,11372.7998,8.0981102,0.26267216283
48,13.0063513513514,0.123270866583108,16,0,3168.79004,2.29126,0.12088772805
49,12.7887610619469,0.160977700146625,13,0,5379.56006,3.82193995,0.21706353143
50,11.9669294605809,0.211587536658002,22,0,5424.66016,3.69586992,0.08598531898
51,13.7301886792453,0.114122444205303,11,0,6027.56006,4.2870698,0.29858740663
52,12.5764953271028,0.225743554296091,5,0.014018691588785,4285.22998,2.98896003,0.34517780421
53,13.2403716216216,0.0933899472633147,31,0,4614.43018,3.34441996,0.08762573842
54,13.2985142857143,0.0934500136575406,29,0,3121.53003,2.20182991,0.05789934978
55,12.9320320855615,0.13708213666084,28,0,7946.04004,5.51170015,0.11694823591
56,12.2048511904762,0.232154834885322,8,0.0119047619047619,7264.8999,5.05014992,0.32903458563
57,16.2764435146444,0.366197780014543,34,0,7367.27002,4.97136021,0.07591289507
58,13.2089743589744,0.0907650453410486,12,0,3240.62012,2.32164001,0.14388466876
59,12.1668085106383,0.201471474817099,11,0.00709219858156028,4742.8999,3.34074998,0.2031261799
60,11.328038585209,0.359824762695736,15,0.045016077170418,6912.5,4.73739004,0.15016051586
61,16.3508873720137,0.164319129416889,119,0,8436,5.88484001,0.03508260666
62,16.6113949275362,0.144399040186686,127,0,13481.2002,9.43037033,0.05587989403
63,16.473585500394,0.170268888019466,129,0.000788022064617809,28549.9004,19.9262009,0.11210154211
64,16.4907277628032,0.173565335051558,115,0.00269541778975741,17533.5,12.2294998,0.07883955248
65,16.6455102040816,0.154518281190041,84,0,3812.05005,2.64499998,0.02213944873
66,16.9359615384615,0.127170436271714,125,0,16289.2998,11.4092999,0.07213495939
67,12.6059770114943,0.163283184125604,14,0,5134.33984,3.59822011,0.15793386707
68,11.9384485666105,0.212595212732663,26,0,12568,8.7020998,0.1784577512
69,12.5886346863469,0.126162751562719,23,0,5507.20996,3.8596499,0.101283473
70,12.372995951417,0.196477639398499,12,0.00404858299595142,3792.6001,2.69365001,0.16502371018
71,13.4868983957219,0.108396807166849,16,0.00267379679144385,6266.83008,4.44068003,0.21087467627
72,12.8773476702509,0.138993030154146,13,0.003584229390681,4750.85986,3.36695004,0.188275413
73,13.1182044560944,0.150497180766064,12,0.00524246395806029,12210.7002,8.68587017,0.52952615249
74,9.68526538280883,1.0542251314674,65,0.426961014560827,43891.3984,30.7486,0.20426950254
75,20.8371637985978,0.175260275772619,42,0.00191204588910134,39243.1992,27.2465,0.51143182897
76,20.3850438596491,0.18534081953846,63,0.00219298245614035,12795.4004,8.88259983,0.10543423128
77,19.1399588477366,0.254040482315074,24,0.00411522633744856,12932.9004,8.87236977,0.25701768673
78,20.9205741626794,0.123488174999028,57,0,6810.6499,4.72510004,0.06167728546
79,12.7626960784314,0.15290426044799,12,0,3132.78003,2.23263001,0.1438473865
80,13.2505533596838,0.226577739792839,7,0.0118577075098814,5389.22998,3.7672801,0.30972858866
81,12.6745147679325,0.175797394252886,14,0.00421940928270042,4258.00977,3.01132011,0.1412997654
82,20.2656712672522,0.128635203376851,155,0,22533.1992,15.6562996,0.07689466125
83,10.5041160220994,0.505258919973457,12,0.162983425414365,7430.22998,5.2135601,0.20395260333
84,19.8030172413793,0.239402670526454,38,0.00862068965517241,9280.70996,6.38629007,0.12625637349
85,19.8513602941176,0.193735980196006,27,0.00367647058823529,7740.95996,5.36306,0.13848495477
86,12.216867729427,0.130311887495267,447,0.000430848772081,40087.6992,28.4043007,0.04712477664
87,12.6927064220183,0.162230213028218,16,0.00458715596330275,3771.28003,2.66400003,0.11740805045
88,7.93555555555556,0.771574219008736,20,0.282282282282282,7877.83984,5.42888021,0.08326992771
89,10.4353587443946,0.395679436839072,66,0.0369955156950673,21475.4004,14.6520996,0.09160872653
